dex,contour,solidity,symmetry,aspect,occupancy,eff_colors,edge_density,area
75,1.6338255133926791,0.8283002093550145,0.6323047360687238,2.0,0.2203521728515625,20,0.338203725503774,14441
76,1.4939148928322556,0.7707623455220465,0.571739694062743,1.0642201834862386,0.4625091552734375,22,0.2553858335257827,30311
77,2.545980272631288,0.628454070201643,0.4318972851728672,0.7844827586206896,0.2824859619140625,20,0.21952141738237996,18513
78,3.6230156938749825,0.6116774791473587,0.4170575411243972,0.8663793103448276,0.327301025390625,22,0.2668997668997669,21450
79,1.5829580636139442,0.775937253501213,0.7199788862496701,1.2340425531914894,0.39776611328125,20,0.16280497161270524,26068
80,1.4611632879597227,0.8169858282115101,0.6021516087259687,0.9137931034482759,0.4908447265625,21,0.250404128326287,32168
81,1.902575303086953,0.6955496332633664,0.3732538647792885,1.8125,0.225006103515625,21,0.28272073782720736,14746
82,2.8588102911506286,0.6509351801932568,0.7519160651834214,1.0943396226415094,0.3592529296875,21,0.34305980292218824,23544
83,2.0915975163943847,0.7418666321712697,0.5278055278055278,0.8405172413793104,0.35003662109375,19,0.2544463818657367,22940
84,3.0475016913581503,0.4358394301116673,0.15896582618712402,0.6120689655172413,0.1381683349609375,22,0.34378796245168414,9055
85,3.9381724293143296,0.4006304126337239,0.28924180327868854,0.8189655172413793,0.1920013427734375,22,0.4359055869029643,12583
86,1.691708142540134,0.6369462025316456,0.41212581852198316,1.0892018779342723,0.3685455322265625,22,0.19529665051960418,24153
87,1.610549809549923,0.7912635388998225,0.5662525879917184,1.0,0.4386444091796875,22,0.16885240198977283,28747
88,1.3160988759595946,0.8541548779209892,0.6595813991367375,1.45,0.310943603515625,21,0.27200902934537247,20378
89,1.394774301974384,0.832617307370418,0.5899211591732367,1.9661016949152543,0.2277069091796875,22,0.27541379079273604,14923
90,1.3339945878185133,0.8167361170167531,0.650576970292168,1.0220264317180616,0.512908935546875,19,0.1717439162253823,33614
91,1.6008020152135694,0.6920723511565688,0.6205263473412865,1.045045045045045,0.4124755859375,22,0.29287511097957974,27032
92,1.7051229595965618,0.8013647252401578,0.7746222269853178,1.0,0.505340576171875,21,0.10755480403406002,33118
93,2.034786919445951,0.6045009720254374,0.40174205378973105,1.1485148514851484,0.279937744140625,23,0.18794287583124386,18346
94,1.4949971234618555,0.771372411750451,0.6485685512875845,0.978448275862069,0.4371337890625,19,0.14172018989109186,28648
95,1.921575806715395,0.6396654872949501,0.5404969944847245,0.9568965517241379,0.3793182373046875,22,0.2969950520938091,24859
96,1.4769756065522268,0.7585718734958521,0.6485355648535565,0.75,0.4088134765625,21,0.15041803523439834,26792
97,2.214662191081304,0.6105923713756474,0.5651162790697675,0.9396551724137931,0.36968994140625,19,0.22713389466732706,24228
